"Country","totalrevenue"
"United Kingdom","3263199.2500001183"
"EIRE","97282.78999999953"
"Germany","93933.59000000005"
"Netherlands","89850.95999999998"
"France","85054.61000000044"
"Australia","49209.71000000001"
"Switzerland","27692.51000000005"
"Spain","24993.200000000088"
"Japan","17134.16"
"Belgium","16942.549999999996"
"Norway","14655.099999999997"
"Portugal","13139.819999999992"
"Finland","11357.600000000004"
"Sweden","9316.359999999993"
"Singapore","8209.580000000002"
"Channel Islands","7894.959999999996"
"Cyprus","5385.910000000001"
"Denmark","4863.559999999998"
"Poland","3904.210000000001"
"Italy","3664.11"
"Austria","2999.690000000002"
"Iceland","2540.2900000000013"
"USA","2464.75"
"Greece","2099.28"
"Canada","1751.8799999999999"
"Lithuania","1661.06"
"Unspecified","1151.7800000000002"
"United Arab Emirates","975.5400000000001"
"Malta","833.1600000000001"
"Bahrain","459.4"
"European Community","432.05"
"Czech Republic","277.47999999999996"
"Israel","132.18000000000006"
