"cohort_month","cohort_index","customers","retention_percentage"
"2010-01-01 00:00:00","0","95","100.00"
"2010-01-01 00:00:00","1","6","6.32"
"2010-01-01 00:00:00","2","4","4.21"
"2010-01-01 00:00:00","4","5","5.26"
"2010-01-01 00:00:00","5","7","7.37"
"2010-01-01 00:00:00","6","3","3.16"
"2010-01-01 00:00:00","7","10","10.53"
"2010-01-01 00:00:00","8","7","7.37"
"2010-01-01 00:00:00","9","5","5.26"
"2010-01-01 00:00:00","12","26","27.37"
"2010-01-01 00:00:00","13","18","18.95"
"2010-01-01 00:00:00","14","19","20.00"
"2010-01-01 00:00:00","15","20","21.05"
"2010-01-01 00:00:00","16","27","28.42"
"2010-01-01 00:00:00","17","28","29.47"
"2010-01-01 00:00:00","18","24","25.26"
"2010-01-01 00:00:00","19","23","24.21"
"2010-01-01 00:00:00","20","20","21.05"
"2010-01-01 00:00:00","21","23","24.21"
"2010-01-01 00:00:00","22","21","22.11"
"2010-01-01 00:00:00","23","19","20.00"
"2010-02-01 00:00:00","0","93","100.00"
"2010-02-01 00:00:00","4","2","2.15"
"2010-02-01 00:00:00","5","6","6.45"
"2010-02-01 00:00:00","6","3","3.23"
"2010-02-01 00:00:00","7","7","7.53"
"2010-02-01 00:00:00","8","4","4.30"
"2010-02-01 00:00:00","10","1","1.08"
"2010-02-01 00:00:00","11","18","19.35"
"2010-02-01 00:00:00","12","13","13.98"
"2010-02-01 00:00:00","13","16","17.20"
"2010-02-01 00:00:00","14","22","23.66"
"2010-02-01 00:00:00","15","14","15.05"
"2010-02-01 00:00:00","16","16","17.20"
"2010-02-01 00:00:00","17","21","22.58"
"2010-02-01 00:00:00","18","16","17.20"
"2010-02-01 00:00:00","19","18","19.35"
"2010-02-01 00:00:00","20","21","22.58"
"2010-02-01 00:00:00","21","21","22.58"
"2010-02-01 00:00:00","22","15","16.13"
"2010-03-01 00:00:00","0","46","100.00"
"2010-03-01 00:00:00","2","1","2.17"
"2010-03-01 00:00:00","3","1","2.17"
"2010-03-01 00:00:00","4","1","2.17"
"2010-03-01 00:00:00","6","3","6.52"
"2010-03-01 00:00:00","9","1","2.17"
"2010-03-01 00:00:00","10","8","17.39"
"2010-03-01 00:00:00","11","9","19.57"
"2010-03-01 00:00:00","12","9","19.57"
"2010-03-01 00:00:00","13","11","23.91"
"2010-03-01 00:00:00","14","13","28.26"
"2010-03-01 00:00:00","15","12","26.09"
"2010-03-01 00:00:00","16","9","19.57"
"2010-03-01 00:00:00","17","10","21.74"
"2010-03-01 00:00:00","18","5","10.87"
"2010-03-01 00:00:00","19","13","28.26"
"2010-03-01 00:00:00","20","11","23.91"
"2010-03-01 00:00:00","21","8","17.39"
"2010-05-01 00:00:00","0","69","100.00"
"2010-05-01 00:00:00","1","2","2.90"
"2010-05-01 00:00:00","2","3","4.35"
"2010-05-01 00:00:00","3","1","1.45"
"2010-05-01 00:00:00","4","4","5.80"
"2010-05-01 00:00:00","5","1","1.45"
"2010-05-01 00:00:00","7","6","8.70"
"2010-05-01 00:00:00","8","17","24.64"
"2010-05-01 00:00:00","9","12","17.39"
"2010-05-01 00:00:00","10","18","26.09"
"2010-05-01 00:00:00","11","21","30.43"
"2010-05-01 00:00:00","12","16","23.19"
"2010-05-01 00:00:00","13","24","34.78"
"2010-05-01 00:00:00","14","15","21.74"
"2010-05-01 00:00:00","15","18","26.09"
"2010-05-01 00:00:00","16","21","30.43"
"2010-05-01 00:00:00","17","13","18.84"
"2010-05-01 00:00:00","18","18","26.09"
"2010-05-01 00:00:00","19","20","28.99"
"2010-06-01 00:00:00","0","70","100.00"
"2010-06-01 00:00:00","1","2","2.86"
"2010-06-01 00:00:00","2","2","2.86"
"2010-06-01 00:00:00","3","1","1.43"
"2010-06-01 00:00:00","4","1","1.43"
"2010-06-01 00:00:00","6","1","1.43"
"2010-06-01 00:00:00","7","17","24.29"
"2010-06-01 00:00:00","8","9","12.86"
"2010-06-01 00:00:00","9","6","8.57"
"2010-06-01 00:00:00","10","11","15.71"
"2010-06-01 00:00:00","11","17","24.29"
"2010-06-01 00:00:00","12","15","21.43"
"2010-06-01 00:00:00","13","18","25.71"
