"month","revenue","previous_month_revenue","growth_percentage"
"2010-01-01 00:00:00","46192.49",NULL,NULL
"2010-02-01 00:00:00","47197.5699999999","46192.49","2.18"
"2010-03-01 00:00:00","23876.6300000001","47197.5699999999","-49.41"
"2010-05-01 00:00:00","31361.2800000002","23876.6300000001","31.35"
"2010-06-01 00:00:00","31009.3300000002","31361.2800000002","-1.12"
"2010-07-01 00:00:00","53730.9600000001","31009.3300000002","73.27"
"2010-08-01 00:00:00","39094.2000000001","53730.9600000001","-27.24"
"2010-09-01 00:00:00","38193.91","39094.2000000001","-2.30"
"2010-10-01 00:00:00","33488.38","38193.91","-12.32"
"2010-12-01 00:00:00","17102.35","33488.38","-48.93"
"2011-01-01 00:00:00","239564.799999999","17102.35","1300.77"
"2011-02-01 00:00:00","208854.58","239564.799999999","-12.82"
"2011-03-01 00:00:00","260988.66","208854.58","24.96"
"2011-04-01 00:00:00","328429.990000007","260988.66","25.84"
"2011-05-01 00:00:00","321271.430000002","328429.990000007","-2.18"
"2011-06-01 00:00:00","304643.78","321271.430000002","-5.18"
"2011-07-01 00:00:00","322309.29","304643.78","5.80"
"2011-08-01 00:00:00","256744.299999999","322309.29","-20.34"
"2011-09-01 00:00:00","421112.23","256744.299999999","64.02"
"2011-10-01 00:00:00","290996.860000001","421112.23","-30.90"
"2011-11-01 00:00:00","344620.670000006","290996.860000001","18.43"
"2011-12-01 00:00:00","204679.389999999","344620.670000006","-40.61"
